start	end	text
377300	380500	So let's move on with our main technical agenda for today.
380580	383260	So we are going to continue discussion of multicast.
383440	387160	You can hear me at the back, right, because I felt that my microphone just stopped working,
387200	389360	but as long as you all can hear me, it's good.
389460	389620	Okay.
390480	393980	So yeah, we are going to continue discussion of multicast and then if time we are going
393980	395760	to start mutual exclusion.
396880	397320	Okay.
397480	399220	So just a quick recap of multicast.
399440	403440	So we discussed how it's a useful communication mode in the systems.
404580	409980	We use multicast for writing objects across replica servers, for group messaging, even as
409980	416660	part of some of the algorithms we have discussed like centralized heartbeats and sending markers
416660	417920	with Chandy Lambert and so on.
419860	429040	So the very basic multicast protocol just simply involves the sending process, unicasting the
429040	434000	message to each process in the multicast group, but this does not guarantee consistent message
434000	434460	delivery.
434460	438480	Similarly, if the sender fails you could it could be it could happen that subset of the
438480	441820	processes receive the message and another subset does not.
443020	448640	So, based on that we define the notion of a reliable multicast which is defined by three
448640	450800	properties integrity, validity and agreement.
451460	457300	And the key thing here is that if some correct process multicast the message M, then all correct
457300	459500	processes deliver M exactly once.
459500	464020	And the way to achieve that is that when a process receives the message M for the first
464020	467700	time, it remulticasts again to other processes in the group.
469680	470160	Okay.
470440	474960	So, these were like sort of the basic multicast and reliable multicast for like two flavors
475500	477320	with different levels of consistency.
477700	484400	But then we also have different ordering flavors, pipe order, causal order, total order.
493280	495620	Any questions on that?
509260	509820	Okay.
510220	514380	So, we are already discussed how to implement a pipe, how to implement PIFO.
514380	514380	
516020	523600	So, the basic idea is that each process maintains a counter of how many multicast it has issued
523600	529980	and receiving process make sure that whatever multicast it receives from some other process.
530060	533200	PIFO is indeed the next multicast expecting from PIFO.
533240	536420	So, that's where that is basically in sequence numbers.
537180	544580	Then we started discussing total order multicast and the idea is similar except that instead
544580	549220	of each sender individually maintaining a counter of the multicast it has issued.
549400	553920	We maintain a global sequence counter across all messages that are issued in the system.
554940	562480	And one way to do that is by using a centralized sequencer that creates a total order across all of the multicast.
562680	568640	So, all all all processes when they show multicast they also send the message to the sequencer
568640	572660	and the sequencer will assign a sequence number to that multicast.
572860	578800	And then each process ensures that they are delivering the messages in the order of the sequence number.
580360	586560	So, one issue with a centralized sequencer based approach is a centralized sequencer would fail
586560	591020	and then your system would have to have some kind of a failure detection mechanism to detect that
591020	594760	elect a new sequencer and that might like at times complicate things.
595180	602460	So, we often also think about a decentralized mechanism and that's where we almost ended.
602620	604940	So, we had just touched upon this ISIS mechanism.
604940	609500	So, let me let me dive into that in more details.
610580	616680	So, what we discussed was basically how this ISIS algorithm involves three steps.
616960	624320	So, any time a process issues a multicast it will basically send send that message to all
624320	626160	of the other processes including itself.
628000	634320	And then each process will propose a sequence number for that message.
635520	640560	And this this this this proposed sequence number will basically send it back to the sender.
640780	647720	And the sender will pick the highest of these proposed sequence numbers as the final sequence
651940	652500	number.
652500	652500	
654960	661160	And the key lies in like basically the logic used in proposing and proposing the sequence number
661160	663220	and picking that final sequence number.
663480	668080	We all like we can refer to these sequence numbers also as priority because we are maintaining
668080	670320	a priority queue of messages based on these numbers.
670920	675100	So, the first step is send a multicast the message to everyone and the receiving processes
675100	677700	reply with the proposed priority or sequence number.
677940	683700	So, this must be larger than all observed agreed upon priority values and it's larger than
683700	686880	any previously proposed priority value.
688480	693520	And then the message is stored in a priority queue which is ordered by the priority.
693840	699800	The priority here could be the proposed or the agreed upon priority and the message is marked
699800	700640	as undeliverable.
700920	712160	So, then the sender chooses an agreed upon chooses an agreed priority final priority for that for that
712160	716580	message once it receives these proposed priorities from all of the processes.
717400	725980	And this agreed priority is the maximum of all proposed priorities and it's sent back to
725980	726660	all the processes.
727280	734420	And when a process receives this agreed upon the final priority for a message M, it updates
735160	741720	this message M's priority and accordingly it reorders the message in the priority queue and it marks
741720	749420	this message M's deliverable and it then ends up delivering any messages that are at the front
749420	751440	of the priority queue, ok.
751660	758400	So, let me just dive into an example and this will probably become clearer and then I can
758400	762300	come back to the slide and if you have any questions we can tackle those, ok.
763360	765280	So, let us let us start with this example.
765300	767560	So, I have these three processes P 1, P 2, P 3.
768360	774360	So, suppose P 1 issues a multicast of let us say this message A, ok.
774600	777900	So, the first step is that P 1 itself will propose a priority for A, right.
778000	782060	So, this prior, so let us say that there were no other multicast messages issued before.
782380	784680	So, it starts with priority 1.
785000	788760	So, that is the highest so far, ok.
800100	813940	So, now let us say B's multicast message reaches P 2.
814220	815980	So, what will P 2 do?
822080	822620	No.
822620	822780	No.
823640	825480	This is not reliable multicast.
826080	830920	We are just, we are just doing basic multicast but we are now trying to implement the ICES
830920	833580	algorithm for ensuring total reliability.
834260	834400	Oops.
834800	836180	Ok, my, ok.
836180	840100	I thought I had removed all this automated timing from these animations.
840240	843680	There are lots of animations in these slides which are hard to debug and the other problem
843680	845460	is I cannot do back, ok.
845600	846500	What will P 2 do?
849080	849520	Yeah.
851720	853300	I will propose sequence number 1.
853440	858460	So, P 2 will see that hey you know I have not proposed any other priorities.
858460	862320	So, I will let me start with like you know the small smallest priority 1, it is smallest
862320	863160	is 1 and not 0.
863420	865820	It could be the things, ok.
865940	872540	So, P 2 will propose a priority 1 for this message B and it will send that proposal back
872540	874700	to P 3, ok.
876140	882400	So, P 3 has received this proposed priority from P 2, but it is still waiting on receiving
882400	884040	the proposed priority from P 1.
884040	889120	So, you agree upon a final priority value only after you have received the proposed priority
889120	890640	from all three processes, right.
890780	896900	So, P 3 basically knows that, ok, P 3 and P 2 have both proposed priority 1 for this message
896900	900160	B, but P 1's proposal is still left, ok.
900280	903180	So, we cannot proceed with delivering B anywhere.
903340	907940	So, B is still undeliverable, ok.
907940	915080	Then when P 1's message A reaches P 2, what will P 2 do?
919380	921360	Yeah, reply back 2, right.
921800	925980	So, now P 2 will say that, ok, you know I have received the second multicast message
925980	932240	and I have already proposed a priority 1 for the message B. So, for this second message
932240	935540	that I have, I am receiving, let me propose a priority 2.
935720	939700	So, remember the proposed priority that, the priority that you propose for a message is
939700	943740	always higher than your previously proposed values, ok.
944740	945260	Alright.
945260	950160	So, now basically now this message is then sent back to P 1.
950340	955760	And now let's suppose P 1's message reaches P 3.
956300	961620	So, P 3 will also propose a, ah, ok.
963300	968920	So, it's hard to debug these animations when I am like walking over the slides on my own
968920	971060	because I, like the timings are always different.
971060	971460	Anyways.
971680	979380	So, P 3 will also propose a priority 2 because P 3 has proposed priority 1 for message B.
979440	983920	So, P 3 will also propose a priority 2 for this message A and it will send back a response
983920	986220	to P 1, ok.
986260	993920	But before that response reaches P 1, let's say P 2 ends up issuing another multicast C, ok.
995200	1003740	So, now P 2 will end up proposing a priority 3 for this multicast C because it has already
1003740	1009620	proposed priority 1 for B and it has proposed priority 2 for A. So, the next higher value
1009620	1010100	is 3.
1010400	1020960	So, P 2 will propose priority 3 for this multicast C. And, ah, and this message reaches P 1.
1020960	1026020	So, what will P 1 now propose for C? 2, right.
1026600	1035200	So, P 1 has proposed 1 for A. So, it will propose the next higher value 2 for C. And, what will
1035200	1039560	P 3 propose for C? 3, right.
1039560	1039560	
1039640	1039780	.
1039780	1043080	So, P 3 has, has seen priorities 1 and 2 before.
1043260	1044700	It has proposed priorities 1 and 2 before.
1044940	1048840	So, it will propose 3 for C, alright.
1049160	1053820	So, now P1's proposal for C has reached P 2.
1054020	1059100	P 2 will still not do anything little with sitting on P 3's proposed, proposed value,
1060600	1061060	ok.
1061060	1065640	So, now finally P3's message B reaches P1.
1067620	1075540	What will P1 propose as B's priority, 3, good, okay, all right.
1076200	1087580	And then A's proposed priority 2 by P3, so P3 had proposed priority 2 for A, so that
1087580	1088880	proposal reaches P1.
1088880	1090640	So, now what will happen?
1091100	1096840	So, now we see that at P1 we have the proposed priority for A from all 3 messages.
1097160	1106260	So, we have the proposed priority of 1 from P1, proposed priority of 2 from P2 and proposed
1106260	1108400	priority of 2 from P3, okay.
1108580	1115080	So, now P1 is ready to figure out what should be the final priority of A. So, what will it
1115080	1116900	pick as the final priority of A?
1118440	1119060	2, right.
1119140	1124200	It will take the max of all of these proposed values and it will pick 2 to be the final priority
1124200	1126120	of A, okay.
1126200	1129620	And then it will update this priority value to 2.
1130940	1133920	And it will mark this A as deliverable.
1134020	1138820	So, this color change indicates if a non-gray color here indicates that it is deliverable.
1139020	1140440	But there's a problem now, right.
1140620	1145620	So, we now need to sort these messages by the order of the priority.
1145620	1153020	And we now see two messages in in P1's queue, which both of which have priority 2.
1153540	1155040	So, how do we go about it?
1157380	1161320	Can you just like deliver any of them in any order?
1162060	1167060	Let's assume like C is C is not deliverable yet, but suppose C became deliverable with
1167060	1167680	a priority 2.
1167680	1172800	So, could we have delivered it in that order, in any random order across processes?
1178380	1181480	It, the third priority value could, could end up.
1186560	1190800	Once it becomes deliverable, could both end up with two, ah.
1197020	1197420	Yeah.
1198720	1199720	Actually, it's a good question.
1199820	1201340	I need to think a little bit more about it.
1201440	1202640	Maybe, maybe it won't.
1202780	1208540	But we still need a way to, to even, even locally, like even at this time instance, like
1208540	1211280	whether A, whether A can be delivered or not.
1211280	1223660	Because we don't know whether, actually yeah, so C, in this case C's priority will end
1223660	1232140	up being higher, but if A is currently deliverable, I'll actually have to have to think a little
1232140	1233140	bit more about it and get back.
1233220	1239040	Like if, if we can actually prove that eventually like they will end up being, being different.
1239040	1243500	But there, there is a, that's the key though, like you know there is, there is like a reason
1243500	1249480	why they might like end up being different and we can use that to even at this point like
1249480	1251140	order these messages.
1251260	1254800	So, I think, okay let me, let me, let me, let me, let me, let me, let me, so in, in this
1254800	1260900	particular case, yes C's priority will end up eventually being different and it might
1260900	1268760	have been safe to deliver A maybe, actually no, yeah, yeah, it might have been safe to
1268760	1279960	deliver A, but, oh, okay my microphone, yeah, okay, but there could be other cases where
1279960	1285540	like let's say A2 is still the proposed priority, like A2 and C2 are still the proposed priority,
1285540	1289600	we might still want to order them in some way at, at our queue.
1289740	1290680	So how do we do that?
1290800	1296280	And we can leverage the fact that there is some process which will, which will be able
1296280	1298080	to distinguish between, between the priorities.
1298080	1308740	So the, the way we do that is that we break ties using the, using the, the process ID of the,
1309600	1314280	using the ID of the process that has suggested that, that highest priority value.
1314640	1315120	Okay?
1316200	1320320	So, you see whenever we implement a priority queue like we, we, we need unique priorities.
1320600	1324480	So, if you have a priority queue and you have the same priority and you end up like sort
1324480	1328660	of ordering them in a random order like sort of safe, safe safety could be violated like
1328660	1331000	you might end up breaking total order.
1331300	1335960	I do need to actually think about whether after the final priorities are decided like could
1335960	1338320	you, could that ever happen if we don't end up breaking ties.
1341020	1347860	So the way, the way we, we do that like just as like, you know, an added like safety sort
1347860	1354540	of cautious mechanism conservative, conservatively is that the process number, the, the process,
1354780	1360000	the ID of the process that has suggested the, the priority is appended to this priority value.
1360400	1361020	Okay?
1361200	1368900	So here three dot two means that process two has proposed priority three for that, for that
1368900	1369960	message.
1370700	1373560	And no, no the dot here is not a decimal point.
1373720	1376340	Like people get confused that this is like a decimal point.
1376340	1376800	No, no, no.
1377100	1382100	So the way to compare that is that you first look at the, at, oops.
1382420	1384360	You first look at the priority value.
1384520	1389260	If the priority value is higher then that message should come, basically this 2.1 should
1389260	1391420	come after 1.3 in the priority queue.
1391940	1397180	But if the, if the priority value is the same then you look at the process ID and you order
1397180	1399740	the, the, the messages based on that.
1399960	1400340	Okay?
1401880	1403380	So any questions on this?
1406740	1407220	Okay.
1408140	1413500	So now, so now what we do here is so, now if we come back to our example here.
1413760	1423100	So, so far we just have these, the, the, these, these proposals based on, based on the,
1423100	1427860	whichever, whichever, whichever process proposed the highest value we, that that process ID
1427860	1433380	has been appended to that, to that, to that priority that each process locally maintaining.
1434440	1449080	Then when P1 receives this proposed priority of 3 from, from P3, it will end up updating this
1449080	1450220	to 2.3.
1450220	1452340	It will mark it as deliverable.
1452500	1461440	But because 2.3 is higher than 2.1, it will order the, the messages in this manner.
1462420	1462440	Okay?
1464980	1465700	Right?
1467300	1473300	Because here like basically P1 at this point does not know whether other processes will end
1473300	1475440	up proposing a higher priority for C or not.
1475700	1482140	So, it, it may not be safe to deliver A, but maybe, maybe, maybe it would have been, I'm
1482140	1483340	to work out that proof.
1483520	1484340	You had a question?
1484620	1484680	Yeah.
1485540	1485940	You had a question?
1488780	1489180	Yeah.
1489180	1490120	Other process as in?
1496560	1501660	Yeah, we, so now the agreed, so this is just P1 setting the agreed priority value.
1501900	1504120	But now it will send it to these other processes.
1504360	1506240	So that was the next step in, in this.
1506500	1506980	Okay?
1507060	1509980	So now these other processes will receive this agreed upon value.
1510240	1514980	And they'll also update the, the priority to 2.3.
1514980	1520140	And they will adjust their, the position of, of A in their priority values.
1520780	1520820	Okay?
1521100	1521160	Yeah.
1522220	1522780	.
1527300	1529920	A has not gone from priority 2 to priority 3.
1530140	1531820	It's 2.3.
1532620	1535080	So it's still priority 2, right?
1535300	1541440	But it's saying that, okay, it's process P3 is the one that has proposed this priority,
1541860	1542960	highest priority 2.
1542960	1546300	So basically, okay, so if we look at this example.
1546560	1555580	So, so, so far we saw that, yeah, okay, it's, it's kind of, because there's so many animations,
1555780	1557240	it's hard to kind of track the particular thing.
1557360	1565420	But, okay, P1 had proposed priority 1 for A, but these P2 and P3 had proposed priority 2,
1565520	1565600	right?
1565720	1572360	So now basically P1 will say that, okay, the priorities I've received for A include one proposed
1572360	1579800	by me, 2 proposed by me, 2 proposed by P2 and 2 proposed by P3.
1580060	1584280	This is the highest amongst this, so I'll set 2.3, okay?
1589720	1599600	So basically append the ID of the process that has proposed that, that value, that priority
1599600	1605600	to that, to that, to be, to you said that, you attach that to the priority value basically,
1605600	1612920	and then you do that, okay, all right, so now, now, so now A is technically deliverable
1612920	1616180	at all of these processes, but we won't deliver it yet.
1616280	1619980	We can only deliver a message when it's at the head of the queue, okay?
1619980	1624860	And messages could be, like, reordered depending on what the final priorities end up doing.
1626320	1642480	Okay, so now P1, P1, P1's proposal for message B, so P1's proposal for message B reaches P3.
1642480	1647500	So, now P3 has all of the proposals for message B.
1647700	1650280	What will it set as the final priority for B?
1655440	1656580	3.1, right?
1656800	1658200	So, it will again pick the highest.
1658420	1664880	So, these are the three values it will compare, and it will pick 3.1 to be the final priority
1664880	1665620	of B, right?
1668180	1672960	And, and 2.3 is less than 3.1, so A and B will swap places in the priority queue.
1673860	1677580	And, now, we can see that both A and B are deliverable, okay?
1677660	1681400	So, the, the blue and the yellow color doesn't mean too much here, as long as it's not grey,
1681560	1683240	it's deliverable in these slides.
1685400	1687580	And, we, P3 will end up delivering both.
1687680	1690220	So, now, it's safe to deliver A and B in that order.
1690360	1693360	So, it will first deliver A and it will then deliver B, okay?
1695520	1700160	And, and P3 will also send out the agreed priority to other processes, but they have not yet
1700160	1703200	reached, so I have not yet drawn the arrows for those, okay?
1704460	1710600	Now, P3's proposal for C, C's priority reaches P2.
1710780	1717420	So, now, now P2 has also received all the proposals for C. What will be set, set as C's
1717420	1718200	final priority?
1724640	1726860	3.3, right?
1728260	1733800	So, oops, yeah.
1733800	1738160	So, P2 will set 3.3 to be C's priority.
1741020	1742340	And, yeah.
1742840	1749080	And, let's say this final priority reaches both P1 and P3 as well.
1749340	1754880	So, they'll also set 3.3 to be C's priority and we'll swap places again.
1759200	1762100	And, P3 can deliver C as well.
1762240	1765720	So, P3 had already delivered A and B. So, it can deliver C as well.
1765880	1767340	So, these check marks here indicate that.
1767540	1772260	And now, P1 can deliver, deliver A. So, A is deliverable.
1772380	1774220	It's at the head of the P1's queue.
1774220	1775220	So, it can deliver A.
1776540	1784860	Then, finally, once P3's when the final priority of B as decided by P3 reaches P2.
1786800	1796680	The final priority of B gets updated by P2 and you rearrange the priority queue and P2 can
1796680	1803340	now deliver all three messages in the order A, B, C. And, once B's priority, final priority
1803340	1810540	reaches P1, P1 will update B's value, priority value.
1811100	1815540	The priority queue remains unchanged in this case and B and C get delivered.
1821120	1822440	To the application.
1823000	1823760	Yeah, yeah, yeah.
1823920	1825960	So, all of this is happening.
1826120	1828040	Remember that diagram I used to have.
1828140	1831300	So, all of this is happening as part of the total order multicast protocol.
1831940	1836560	So, you basically have like you know the basic total order multicast implemented on top
1836560	1838120	of basic multicast, right.
1838120	1842440	So, these actions happen upon the B delivery.
1842620	1848220	But, the total order multicast protocol is the place where this priority queue is maintained.
1848380	1849680	We are buffering these messages.
1850440	1853820	And, this total order multicast protocol, that's just underneath your application,
1854040	1858340	will then deliver the message to the application once the conditions of the access
1858340	1859480	are satisfied.
1865560	1869600	At this point, so when, when, when I have the check mark here, that's when the message
1869600	1871000	is getting delivered to the application.
1871260	1871440	Yeah.
1873520	1875060	Oh, by these arrow endings.
1876560	1881320	So, the, the very first time it's basically, so the B delivery, okay, what are the, the basic,
1881480	1883320	so you can remember this diagram here, right.
1883320	1889780	So, you have your application, you have the total order multicast protocol and then you
1889780	1892160	have the basic multicast protocol, right.
1892400	1897820	So, the basic multicast protocol will just deliver the messages to the total order multicast
1897820	1900780	protocol as soon as the messages arrive at the process, right.
1900920	1903720	So, that's the, that's the, these arrows.
1904000	1910980	So, basically direct multicast of A is issued by P1, it gets B delivered at P2, it gets B delivered
1910980	1917940	at P3, but, yeah, it's still, it's still, it, then ends up getting buffered in this total
1917940	1921860	order multicast, by the total order multicast protocol in this priority queue.
1922120	1923960	So, the message is not delivered to the application yet.
1925280	1927700	Yeah, I said it's not related to the application.
1928020	1929900	So, when you are doing this,
1930340	1932080	right, and then it's not to be active,
1932300	1933760	and then it's not to be active,
1933780	1933920	and then it's not to be active,
1934180	1935400	and then it's not to be active,
1935480	1939960	and then it's not to be active,
1942320	1942800	how is it reliable?
1942800	1943620	How is it reliable?
1944000	1945160	We're not talking about reliability,
1945440	1946880	we're talking about total ordering here.
1948040	1950820	We're not talking about total order reliable multicast,
1950940	1953860	we're just talking about total order multicast, right.
1954100	1957440	So, we, we are implementing total order multicast over basic delivery.
1958080	1961300	Now, total order reliable multicast is whole other thing, right,
1961460	1963240	and that's what you're supposed to do for your MP1.
1963680	1965920	I'm not going to tell you how exactly you'll do that,
1966020	1968220	you have to think it through, okay.
1969380	1971780	So, I'm not guaranteeing reliability here.
1973820	1976480	So, I'm not even going into what will happen when,
1976560	1977440	when failures occur.
1977680	1979020	I would like you all to think about it,
1979120	1980380	and we can, we can discuss that,
1980760	1982120	maybe after the MP1 is due.
1984680	1986720	Okay, and that's, that's the part of like,
1986920	1988820	how you think, think things through, okay.
1988820	1989780	Yeah.
1990460	1990820	.
1994120	1995520	Yes.
1996400	1997800	.
1999360	2000760	Right.
2001000	2001560	.
2001560	2002700	Yeah.
2002920	2003740	.
2005180	2006580	Right.
2006740	2007100	.
2007100	2008220	.
2019680	2022480	Now, so actually, just to continue on the note of reliability.
2022660	2025840	So, now if you want to ensure reliability on top of this total order,
2026700	2028960	multicast delivery, you need to make sure, I mean,
2029080	2031480	like you need to kind of, this is like what the focus
2031480	2032700	need to do for MP1.
2032780	2036800	So, you need to make sure that if one process has delivered the message,
2036800	2039740	basically this, this thing has happened, like, you know,
2040160	2043800	you have a check marks here, it's at the head of the ISIS priority queue,
2043920	2044680	and you've delivered it.
2045060	2046780	If one process has delivered it,
2046880	2049400	all other process must deliver it as well.
2049720	2055020	So, think about how, how you would like augment this ISIS protocol
2055020	2060760	with reliability, like what, what aspect here must use R multicast.
2060840	2062840	So, currently I've used B multicast everywhere,
2063060	2066040	but you can maybe use R multicast somewhere here to make sure that
2066040	2067060	reliability is guaranteed.
2068040	2068080	Okay.
2069920	2070860	All right.
2071100	2071160	Yeah.
2073880	2074640	.
2079760	2081260	What is the second part?
2083940	2084700	.
2087080	2088540	The final priority?
2088800	2088960	Yeah.
2090580	2091340	.
2092620	2093380	Yeah.
2093380	2099800	So, yes, so I mean, especially if you, like,
2099940	2102980	you can think about whether you need reliable multicast
2102980	2103760	in the first part.
2104080	2106180	You do need it for the final priority,
2106460	2109640	and I'll let you all, I'll leave it up to all to work out,
2109800	2112140	like, where you need R multicast.
2113800	2114280	Okay.
2115340	2115820	Yeah.
2117580	2118060	Okay.
2118060	2118080	Okay.
2118980	2121100	So, why, why does this, okay,
2121160	2122740	it's actually any questions on this algorithm.
2122820	2124620	Let me actually go back to this slide now,
2124900	2126520	now that we have looked at the example.
2127020	2128540	So, just stare at it for a bit.
2128680	2130820	If you have any questions, feel free to ask.
2132620	2134380	So, is the, is the process clear?
2159520	2163340	Can you repeat your question again a bit more coherently?
2164900	2165720	.
2165720	2166100	.
2166100	2166340	.
2166940	2167040	Right.
2167220	2167800	.
2168340	2168360	.
2168360	2168360	
2168360	2168360	
2171200	2172020	Yeah.
2172400	2172840	.
2172840	2173420	.
2174340	2174600	.
2174600	2174720	.
2174720	2175060	.
2175060	2175060	
2175060	2175260	.
2175260	2175260	
2175260	2175260	
2175260	2175340	.
2175340	2175340	
2175340	2175340	
2175340	2175340	
2175340	2175340	
2175340	2175340	
2183920	2185860	What is, what is the sequence one?
2187820	2188280	.
2188280	2188420	.
2188420	2191920	Why is, why does, so, B has priority 3.1,
2192040	2193460	it doesn't have sequence one.
2194760	2198740	So, the, the, so, here like we have replaced the terms.
2198960	2201220	So, you can think of this priority to be equal to the sequence.
2201360	2201540	Okay.
2201820	2204320	We are using the term sequence and priority interchangeably.
2205080	2209480	And, like, as, so, this is, this is a slide that you need to kind of look at again maybe.
2209480	2216180	So, you, you have the, the first number here is basically the sequence or the priority.
2216520	2222300	The second number here is the process ID that has proposed that sequence of priorities.
2222340	2225400	The ID of the process that has proposed that sequence of priority.
2225400	2232080	And, that is the tuple we use when comparing these sequences of priorities across messages.
2232920	2233560	Okay.
2235460	2236420	So, oops.
2238020	2241520	So, I am not understanding a question then.
2241720	2243880	So, given that do you still have a question?
2244500	2245140	.
2245140	2245920	.
2245920	2246160	.
2246160	2247100	.
2247100	2247520	.
2248160	2248180	.
2277460	2284920	So, so, what that means is that when P delivers M1, it is at the head of P's queue.
2285360	2288080	Because, it's only then that, that message will end up getting delivered.
2288820	2295280	And, if it is delivering M1 before M2, that means that M2 can have, can be in one of the
2295280	2295880	following places.
2296460	2302100	So, it's possible that M2 is already in, in P's queue and it is also deliverable.
2303360	2304700	But, it's not at the head.
2304980	2309100	So, the final priority of M1 is less than the final priority of M2.
2309820	2315720	So, here when I say less, remember that less means that like you know when we talk of priority,
2315900	2319220	less means that like it actually has higher priorities delivered first kind of a thing.
2319320	2321280	But, like the value is less.
2322280	2322680	Okay.
2323040	2326900	So, final priority of M1, the final sequence of M1 is less than the final sequence of the
2326900	2327900	final priority of M2.
2330300	2338500	The other condition could be that M2 is already in P's queue, but it's not yet deliverable.
2339020	2344840	So, that would mean that the final priority of M1 is, must be less than the proposed priority
2344840	2345740	of M2.
2347340	2353280	And as we know that the final priority that will be selected for M2 is guaranteed to be
2354120	2359040	greater than equal to the priority of M2 proposed by any, any of the processes.
2359820	2365340	So, therefore, final priority of M2 must be higher than the final priority of M1.
2372980	2386820	And therefore, the final priority of M2 is guaranteed to be higher than the final priority of M1.
2386820	2387940	Okay.
2388140	2389460	Are you all following this?
2389680	2391400	Any questions on these conditions?
2397540	2398100	Why?
2398300	2399700	Why this must be true?
2402920	2403480	.
2404660	2406080	So, by design, right.
2406280	2413320	So, the way I just works is that each process will send its proposed priority to the sender,
2413320	2413460	right.
2413620	2418680	And the sender by design is picking the max of all of the proposed priority and setting
2418680	2420240	that to be the final priority, right.
